fileID,f1,f2,vot,notes
bi03_kaka,1145.40,1892.58,21.90,
bi03_kaka1,839.61,1493.41,33.18,
bi03_kaka2,830.68,1654.36,33.10,
bi03_keke,762.22,2370.79,24.18,
bi03_keke1,527.06,2277.22,23.27,
bi03_keke2,470.95,2520.56,23.31,
bi03_kiki,407.09,2667.84,34.07,
bi03_kiki1,353.74,2694.58,19.96,
bi03_kiki2,345.13,2679.90,23.56,
bi03_koko,624.59,819.79,24.64,
bi03_koko1,558.18,899.26,30.23,
bi03_koko2,787.69,1139.66,30.02,
bi03_kuku,400.63,757.28,28.82,
bi03_kuku1,273.42,1667.94,31.80,
bi03_kuku2,412.97,827.77,34.16,
bi03_paka,1126.72,1699.92,8.86,
bi03_paka1,755.83,1622.11,3.95,
bi03_paka2,638.27,1782.00,11.78,
bi03_peke,408.35,1789.26,8.87,
bi03_peke1,555.49,2331.35,12.41,
bi03_peke2,953.60,2433.71,3.82,
bi03_piki,362.34,2680.43,19.97,
bi03_piki1,329.94,2873.66,17.29,
bi03_piki2,1225.33,2528.01,5.10,
bi03_poko,530.66,891.33,33.89,
bi03_poko1,623.11,1866.73,17.42,
bi03_poko2,515.34,869.29,17.45,
bi03_puku,519.12,567.73,20.15,
bi03_puku1,674.47,1639.15,31.64,
bi03_puku2,422.71,816.64,18.17,
bi03_taka,785.52,1640.73,16.83,
bi03_taka1,826.57,1645.53,16.26,
bi03_taka2,862.11,1538.74,11.43,
bi03_teke,457.02,2349.84,13.00,
bi03_teke1,452.84,2405.53,12.56,
bi03_teke2,428.57,2442.88,11.03,
bi03_tiki,357.15,2505.61,13.77,
bi03_tiki1,919.92,2314.58,10.98,
bi03_tiki2,415.08,1912.74,23.65,
bi03_toko,800.42,913.50,13.07,
bi03_toko1,752.41,1135.94,16.37,
bi03_toko2,773.91,1060.91,15.56,
bi03_tuku,648.77,763.97,17.16,
bi03_tuku1,395.90,725.76,11.45,
bi03_tuku2,399.10,744.45,12.62,
